Course,Date,Tee,Front/Back,Score
Morley Hayes Tower,01/01/12,White,Front,41
Morley Hayes Tower,30/04/12,White,Front,40
Morley Hayes Tower,22/05/12,White,Front,44
Morley Hayes Tower,24/05/12,White,Front,42
Morley Hayes Tower,04/06/12,White,Front,37
Morley Hayes Tower,06/06/12,White,Front,41
Morley Hayes Tower,12/06/12,White,Front,40
Morley Hayes Tower,14/06/12,White,Front,41
Morley Hayes Tower,18/06/12,White,Front,39
Morley Hayes Tower,27/06/12,White,Front,38
Morley Hayes Tower,01/04/14,White,Front,37
